Pick,Player,Team,Position,PositionalRank,raw
1.01,Ashton Jeanty,LV,RB,1.0,
1.02,Omarion Hampton,LAC,RB,2.0,
1.03,Cam Ward,TEN,QB,1.0,
1.04,Travis Hunter,JAX,WR,1.0,
1.05,Tetairoa McMillan,CAR,WR,2.0,
1.06,TreVeyon Henderson,NE,RB,3.0,
1.07,Quinshon Judkins,CLE,RB,4.0,
1.08,Tyler Warren,IND,TE,1.0,
1.09,Kaleb Johnson,PIT,RB,5.0,
1.10,RJ Harvey,DEN,RB,6.0,
1.11,Colston Loveland,CHI,TE,2.0,
1.12,Emeka Egbuka,TB,WR,3.0,
2.01,Matthew Golden,GB,WR,4.0,
2.02,Jaxson Dart,NYG,QB,2.0,
2.03,Jayden Higgins,HOU,WR,5.0,
2.04,Cam Skattebo,NYG,RB,7.0,
2.05,Luther Burden,CHI,WR,6.0,
2.06,Tre' Harris,LAC,WR,7.0,
2.07,Jack Bech,LV,WR,8.0,
2.08,Tyler Shough,NO,QB,3.0,
2.09,Bhayshul Tuten,JAX,RB,8.0,
2.10,Jalen Milroe,SEA,QB,4.0,
2.11,Jaylin Noel,HOU,WR,9.0,
2.12,Mason Taylor,NYJ,TE,3.0,
3.01,Elijah Arroyo,SEA,TE,4.0,
3.02,Kyle Williams,NE,WR,10.0,
3.03,Shedeur Sanders,CLE,QB,5.0,
3.04,Pat Bryant,DEN,WR,11.0,
3.05,Terrance Ferguson,LAR,TE,5.0,
3.06,Jaydon Blue,DAL,RB,9.0,
3.07,Dylan Sampson,CLE,RB,10.0,
3.08,Isaac TeSlaa,DET,WR,12.0,
3.09,Jalen Royals,KC,WR,13.0,
3.10,Harold Fannin,CLE,TE,6.0,
3.11,Jackson Hawes,BUF,TE,7.0,
3.12,Isaiah Neyor,GB,WR,14.0,
4.01,Dont'e Thornton,LV,WR,15.0,
4.02,Jacory Croskey-Merritt,WAS,RB,11.0,
4.03,Elic Ayomanor,TEN,WR,16.0,
4.04,Savion Williams,GB,WR,17.0,
4.05,Jaylin Lane,WAS,WR,18.0,
4.06,Jordan Watkins,SF,WR,19.0,
4.07,Chimere Dike,TEN,WR,20.0,
4.08,Arian Smith,NYJ,WR,21.0,
4.09,Gunnar Helm,TEN,TE,8.0,
4.10,Kyle Monangai,CHI,RB,12.0,
4.11,Will Howard,PIT,QB,6.0,
4.12,Devin Neal,NO,RB,13.0,
5.02,Konata Mumpfield,LAR,WR,22.0,
5.03,Efton Chism,NE,WR,23.0,
5.04,Jarquez Hunter,LAR,RB,15.0,
5.05,Phil Mafah,DAL,RB,16.0,
5.06,DJ Giddens,IND,RB,17.0,
5.07,Thomas Fidone,NYG,TE,9.0,
5.08,Cam Miller,MIA,QB,7.0,
5.09,Ricky White,SEA,WR,24.0,
5.10,Mitchell Evans,CAR,TE,10.0,
5.11,Nick Nash,WAS,WR,25.0,
5.12,Moliki Matavao,NO,TE,11.0,
,,,,,"5.01 Marcus Yarns, None RB (14)"
