,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Round 1,"1.01 Josh Allen, BUF QB (1)","1.02 Patrick Mahomes, KC QB (2)","1.03 C.J. Stroud, HOU QB (3)","1.04 Jalen Hurts, PHI QB (4)","1.05 Lamar Jackson, BAL QB (5)","1.06 Caleb Williams, CHI QB (6)","1.07 Justin Jefferson, MIN WR (1)","1.08 CeeDee Lamb, DAL WR (2)","1.09 Joe Burrow, CIN QB (7)","1.10 Ja'Marr Chase, CIN WR (3)","1.11 Marvin Harrison, ARI WR (4)","1.12 Jordan Love, GB QB (8)"
Round 2,"2.12 Dak Prescott, DAL QB (14)","2.11 Puka Nacua, LAR WR (6)","2.10 Trevor Lawrence, JAX QB (13)","2.09 Jahmyr Gibbs, DET RB (4)","2.08 Jayden Daniels, WAS QB (12)","2.07 Christian McCaffrey, SF RB (3)","2.06 Kyler Murray, ARI QB (11)","2.05 Breece Hall, NYJ RB (2)","2.04 Justin Herbert, LAC QB (10)","2.03 Amon-Ra St. Brown, DET WR (5)","2.02 Bijan Robinson, ATL RB (1)","2.01 Anthony Richardson, IND QB (9)"
Round 3,"3.01 A.J. Brown, PHI WR (7)","3.02 Malik Nabers, NYG WR (8)","3.03 Garrett Wilson, NYJ WR (9)","3.04 Brock Purdy, SF QB (15)","3.05 Tyreek Hill, MIA WR (10)","3.06 Sam LaPorta, DET TE (1)","3.07 Jonathan Taylor, IND RB (5)","3.08 Chris Olave, NO WR (11)","3.09 Tua Tagovailoa, MIA QB (16)","3.10 Travis Etienne, JAX RB (6)","3.11 Jared Goff, DET QB (17)","3.12 Rome Odunze, CHI WR (12)"
Round 4,"4.12 DeVonta Smith, PHI WR (18)","4.11 Michael Pittman, IND WR (17)","4.10 Drake Maye, NE QB (18)","4.09 Nico Collins, HOU WR (16)","4.08 Jaylen Waddle, MIA WR (15)","4.07 Saquon Barkley, PHI RB (9)","4.06 De'Von Achane, MIA RB (8)","4.05 Trey McBride, ARI TE (3)","4.04 Brandon Aiyuk, SF WR (14)","4.03 Brock Bowers, LV TE (2)","4.02 Kyren Williams, LAR RB (7)","4.01 Drake London, ATL WR (13)"
Round 5,"5.01 DJ Moore, CHI WR (19)","5.02 Dalton Kincaid, BUF TE (4)","5.03 Kyle Pitts, ATL TE (5)","5.04 Kenneth Walker, SEA RB (10)","5.05 Mark Andrews, BAL TE (6)","5.06 DK Metcalf, PIT WR (20)","5.07 Isiah Pacheco, KC RB (11)","5.08 Tank Dell, HOU WR (21)","5.09 Zay Flowers, BAL WR (22)","5.10 Tee Higgins, CIN WR (23)","5.11 James Cook, BUF RB (12)","5.12 J.J. McCarthy, MIN QB (19)"
Round 6,"6.12 Xavier Worthy, KC WR (28)","6.11 Jonathon Brooks, CAR RB (15)","6.10 Baker Mayfield, TB QB (21)","6.09 Brian Thomas, JAX WR (27)","6.08 Bryce Young, CAR QB (20)","6.07 George Pickens, DAL WR (26)","6.06 T.J. Hockenson, MIN TE (8)","6.05 Rashee Rice, KC WR (25)","6.04 Jordan Addison, MIN WR (24)","6.03 Travis Kelce, KC TE (7)","6.02 Josh Jacobs, GB RB (14)","6.01 Rachaad White, TB RB (13)"
Round 7,"7.01 Deebo Samuel, WAS WR (29)","7.02 Jaxon Smith-Njigba, SEA WR (30)","7.03 Deshaun Watson, CLE QB (22)","7.04 Davante Adams, LAR WR (31)","7.05 Jayden Reed, GB WR (32)","7.06 Kirk Cousins, ATL QB (23)","7.07 Justin Fields, NYJ QB (24)","7.08 Stefon Diggs, NE WR (33)","7.09 Mike Evans, TB WR (34)","7.10 Ladd McConkey, LAC WR (35)","7.11 George Kittle, SF TE (9)","7.12 D'Andre Swift, CHI RB (16)"
Round 8,"8.12 Javonte Williams, DAL RB (21)","8.11 Alvin Kamara, NO RB (20)","8.10 Bo Nix, DEN QB (27)","8.09 David Njoku, CLE TE (12)","8.08 Evan Engram, DEN TE (11)","8.07 Joe Mixon, HOU RB (19)","8.06 Matthew Stafford, LAR QB (26)","8.05 Cooper Kupp, SEA WR (36)","8.04 Jake Ferguson, DAL TE (10)","8.03 Trey Benson, ARI RB (18)","8.02 Derrick Henry, BAL RB (17)","8.01 Will Levis, TEN QB (25)"
Round 9,"9.01 Keon Coleman, BUF WR (37)","9.02 Terry McLaurin, WAS WR (38)","9.03 Najee Harris, LAC RB (22)","9.04 Rhamondre Stevenson, NE RB (23)","9.05 David Montgomery, DET RB (24)","9.06 Christian Kirk, HOU WR (39)","9.07 Tyjae Spears, TEN RB (25)","9.08 Chris Godwin, TB WR (40)","9.09 Aaron Rodgers, PIT QB (28)","9.10 Michael Penix, ATL QB (29)","9.11 Tony Pollard, TEN RB (26)","9.12 Christian Watson, GB WR (41)"
Round 10,"10.12 Brian Robinson, SF RB (32)","10.11 Jaylen Warren, PIT RB (31)","10.10 James Conner, ARI RB (30)","10.09 Blake Corum, LAR RB (29)","10.08 Marquise Brown, KC WR (45)","10.07 Aaron Jones, MIN RB (28)","10.06 Geno Smith, LV QB (30)","10.05 Cole Kmet, CHI TE (13)","10.04 Adonai Mitchell, NYJ WR (44)","10.03 Zamir White, LV RB (27)","10.02 Keenan Allen, LAC WR (43)","10.01 Calvin Ridley, TEN WR (42)"
