Pick,Player,Team,Position,PositionalRank
1.01,Josh Allen,BUF,QB,1
1.02,Jayden Daniels,WAS,QB,2
1.03,Lamar Jackson,BAL,QB,3
1.04,Ja'Marr Chase,CIN,WR,1
1.05,Joe Burrow,CIN,QB,4
1.06,Jalen Hurts,PHI,QB,5
1.07,Justin Jefferson,MIN,WR,2
1.08,Brock Bowers,LV,TE,1
1.09,Bijan Robinson,ATL,RB,1
1.10,Jahmyr Gibbs,DET,RB,2
1.11,Malik Nabers,NYG,WR,3
1.12,CeeDee Lamb,DAL,WR,4
2.01,Patrick Mahomes,KC,QB,6
2.02,Ashton Jeanty,LV,RB,3
2.03,Amon-Ra St. Brown,DET,WR,5
2.04,Brian Thomas,JAX,WR,6
2.05,Trey McBride,ARI,TE,2
2.06,Puka Nacua,LAR,WR,7
2.07,Saquon Barkley,PHI,RB,4
2.08,Caleb Williams,CHI,QB,7
2.09,Nico Collins,HOU,WR,8
2.10,Drake London,ATL,WR,9
2.11,Justin Herbert,LAC,QB,8
2.12,Bo Nix,DEN,QB,9
3.01,Drake Maye,NE,QB,10
3.02,Marvin Harrison,ARI,WR,10
3.03,Omarion Hampton,LAC,RB,5
3.04,C.J. Stroud,HOU,QB,11
3.05,Ladd McConkey,LAC,WR,11
3.06,De'Von Achane,MIA,RB,6
3.07,Jaxon Smith-Njigba,SEA,WR,12
3.08,Garrett Wilson,NYJ,WR,13
3.09,A.J. Brown,PHI,WR,14
3.10,Bucky Irving,TB,RB,7
3.11,Breece Hall,NYJ,RB,8
3.12,Tetairoa McMillan,CAR,WR,15
4.01,Jordan Love,GB,QB,12
4.02,Kyler Murray,ARI,QB,13
4.03,Jonathan Taylor,IND,RB,9
4.04,Sam LaPorta,DET,TE,3
4.05,Baker Mayfield,TB,QB,14
4.06,TreVeyon Henderson,NE,RB,10
4.07,Travis Hunter,JAX,WR,16
4.08,Kyren Williams,LAR,RB,11
4.09,Rashee Rice,KC,WR,17
4.10,Brock Purdy,SF,QB,15
4.11,Tee Higgins,CIN,WR,18
4.12,Christian McCaffrey,SF,RB,12
5.01,Josh Jacobs,GB,RB,13
5.02,Trevor Lawrence,JAX,QB,16
5.03,Rome Odunze,CHI,WR,19
5.04,Cam Ward,TEN,QB,17
5.05,Quinshon Judkins,CLE,RB,14
5.06,Jared Goff,DET,QB,18
5.07,James Cook,BUF,RB,15
5.08,J.J. McCarthy,MIN,QB,19
5.09,Chase Brown,CIN,RB,16
5.10,Tyler Warren,IND,TE,4
5.11,Michael Penix,ATL,QB,20
5.12,Derrick Henry,BAL,RB,17
6.01,Dak Prescott,DAL,QB,21
6.02,DeVonta Smith,PHI,WR,20
6.03,Xavier Worthy,KC,WR,21
6.04,Kenneth Walker,SEA,RB,18
6.05,Bryce Young,CAR,QB,22
6.06,Colston Loveland,CHI,TE,5
6.07,Emeka Egbuka,TB,WR,22
6.08,George Kittle,SF,TE,6
6.09,Zay Flowers,BAL,WR,23
6.10,DJ Moore,CHI,WR,24
6.11,Kaleb Johnson,PIT,RB,19
6.12,Terry McLaurin,WAS,WR,25
7.01,Chris Olave,NO,WR,26
7.02,T.J. Hockenson,MIN,TE,7
7.03,Jordan Addison,MIN,WR,27
7.04,Chuba Hubbard,CAR,RB,20
7.05,RJ Harvey,DEN,RB,21
7.06,Tyreek Hill,MIA,WR,28
7.07,DK Metcalf,PIT,WR,29
7.08,Tua Tagovailoa,MIA,QB,23
7.09,Jameson Williams,DET,WR,30
7.10,Jaylen Waddle,MIA,WR,31
7.11,George Pickens,DAL,WR,32
7.12,Matthew Golden,GB,WR,33
8.01,Alvin Kamara,NO,RB,22
8.02,Joe Mixon,HOU,RB,23
8.03,Jerry Jeudy,CLE,WR,34
8.04,Justin Fields,NYJ,QB,24
8.05,Jaxson Dart,NYG,QB,25
8.06,Luther Burden,CHI,WR,35
8.07,Mike Evans,TB,WR,36
8.08,David Montgomery,DET,RB,24
8.09,Sam Darnold,SEA,QB,26
8.10,Dalton Kincaid,BUF,TE,8
8.11,Ricky Pearsall,SF,WR,37
8.12,Brandon Aiyuk,SF,WR,38
9.01,Anthony Richardson,IND,QB,27
9.02,Mark Andrews,BAL,TE,9
9.03,Jayden Higgins,HOU,WR,39
9.04,Cam Skattebo,NYG,RB,25
9.05,Davante Adams,LAR,WR,40
9.06,Jayden Reed,GB,WR,41
9.07,Courtland Sutton,DEN,WR,42
9.08,Tucker Kraft,GB,TE,10
9.09,Chris Godwin,TB,WR,43
9.10,Josh Downs,IND,WR,44
9.11,Tre' Harris,LAC,WR,45
9.12,Tyrone Tracy,NYG,RB,26
10.01,Kyle Pitts,ATL,TE,11
10.02,Isiah Pacheco,KC,RB,27
10.03,James Conner,ARI,RB,28
