,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Round 1,"1.01 Josh Allen, BUF QB (1)","1.02 Drake Maye, NE QB (2)","1.03 Bijan Robinson, ATL RB (1)","1.04 Ja'Marr Chase, CIN WR (1)","1.05 Jahmyr Gibbs, DET RB (2)","1.06 Jaxon Smith-Njigba, SEA WR (2)","1.07 Puka Nacua, LAR WR (3)","1.08 Jayden Daniels, WAS QB (3)","1.09 Trey McBride, ARI TE (1)","1.10 Brock Bowers, LV TE (2)","1.11 Lamar Jackson, BAL QB (4)","1.12 Malik Nabers, NYG WR (4)"
Round 2,"2.12 Patrick Mahomes, KC QB (9)","2.11 Justin Herbert, LAC QB (8)","2.10 Omarion Hampton, LAC RB (5)","2.09 Drake London, ATL WR (8)","2.08 Jalen Hurts, PHI QB (7)","2.07 De'Von Achane, MIA RB (4)","2.06 Caleb Williams, CHI QB (6)","2.05 Ashton Jeanty, LV RB (3)","2.04 CeeDee Lamb, DAL WR (7)","2.03 Justin Jefferson, MIN WR (6)","2.02 Joe Burrow, CIN QB (5)","2.01 Amon-Ra St. Brown, DET WR (5)"
Round 3,"3.01 Tetairoa McMillan, CAR WR (9)","3.02 Jonathan Taylor, IND RB (6)","3.03 Jaxson Dart, NYG QB (10)","3.04 Bo Nix, DEN QB (11)","3.05 TreVeyon Henderson, NE RB (7)","3.06 Nico Collins, HOU WR (10)","3.07 Tyler Warren, IND TE (3)","3.08 James Cook, BUF RB (8)","3.09 Trevor Lawrence, JAX QB (12)","3.10 Colston Loveland, CHI TE (4)","3.11 Brock Purdy, SF QB (13)","3.12 George Pickens, DAL WR (11)"
Round 4,"4.12 Jordan Love, GB QB (14)","4.11 Ladd McConkey, LAC WR (16)","4.10 Saquon Barkley, PHI RB (14)","4.09 Quinshon Judkins, CLE RB (13)","4.08 Chase Brown, CIN RB (12)","4.07 Breece Hall, NYJ RB (11)","4.06 Emeka Egbuka, TB WR (15)","4.05 Chris Olave, NO WR (14)","4.04 Bucky Irving, TB RB (10)","4.03 Garrett Wilson, NYJ WR (13)","4.02 Rashee Rice, KC WR (12)","4.01 Christian McCaffrey, SF RB (9)"
Round 5,"5.01 Harold Fannin, CLE TE (5)","5.02 Brian Thomas, JAX WR (17)","5.03 Marvin Harrison, ARI WR (18)","5.04 C.J. Stroud, HOU QB (15)","5.05 Dak Prescott, DAL QB (16)","5.06 Tucker Kraft, GB TE (6)","5.07 Kyren Williams, LAR RB (15)","5.08 Rome Odunze, CHI WR (19)","5.09 RJ Harvey, DEN RB (16)","5.10 Sam LaPorta, DET TE (7)","5.11 Cam Skattebo, NYG RB (17)","5.12 Baker Mayfield, TB QB (17)"
Round 6,"6.12 Tyler Shough, NO QB (20)","6.11 Travis Etienne, JAX RB (20)","6.10 Kenneth Walker, SEA RB (19)","6.09 Cam Ward, TEN QB (19)","6.08 Jameson Williams, DET WR (24)","6.07 Kyle Pitts, ATL TE (8)","6.06 Jared Goff, DET QB (18)","6.05 Josh Jacobs, GB RB (18)","6.04 Luther Burden, CHI WR (23)","6.03 Zay Flowers, BAL WR (22)","6.02 A.J. Brown, PHI WR (21)","6.01 Tee Higgins, CIN WR (20)"
Round 7,"7.01 Derrick Henry, BAL RB (21)","7.02 DeVonta Smith, PHI WR (25)","7.03 Travis Hunter, JAX WR (26)","7.04 Jaylen Waddle, MIA WR (27)","7.05 Sam Darnold, SEA QB (21)","7.06 Javonte Williams, DAL RB (22)","7.07 Bryce Young, CAR QB (22)","7.08 Oronde Gadsden, LAC TE (9)","7.09 Jake Ferguson, DAL TE (10)","7.10 Dalton Kincaid, BUF TE (11)","7.11 Kyler Murray, ARI QB (23)","7.12 D'Andre Swift, CHI RB (23)"
Round 8,"8.12 Brenton Strange, JAX TE (13)","8.11 Terry McLaurin, WAS WR (34)","8.10 Xavier Worthy, KC WR (33)","8.09 Davante Adams, LAR WR (32)","8.08 Daniel Jones, IND QB (26)","8.07 J.J. McCarthy, MIN QB (25)","8.06 Michael Wilson, ARI WR (31)","8.05 George Kittle, SF TE (12)","8.04 Matthew Stafford, LAR QB (24)","8.03 Ricky Pearsall, SF WR (30)","8.02 Jordan Addison, MIN WR (29)","8.01 DK Metcalf, PIT WR (28)"
Round 9,"9.01 Jayden Higgins, HOU WR (35)","9.02 Kyle Monangai, CHI RB (24)","9.03 Michael Penix, ATL QB (27)","9.04 Courtland Sutton, DEN WR (36)","9.05 Alec Pierce, IND WR (37)","9.06 Jaylen Warren, PIT RB (25)","9.07 Zach Charbonnet, SEA RB (26)","9.08 Trey Benson, ARI RB (27)","9.09 Christian Watson, GB WR (38)","9.10 Michael Pittman, IND WR (39)","9.11 Matthew Golden, GB WR (40)","9.12 DJ Moore, CHI WR (41)"
Round 10,"10.12 Malik Willis, GB QB (28)","10.11 Tyler Allgeier, ATL RB (32)","10.10 Blake Corum, LAR RB (31)","10.09 Mason Taylor, NYJ TE (15)","10.08 Jakobi Meyers, JAX WR (45)","10.07 T.J. Hockenson, MIN TE (14)","10.06 Quentin Johnston, LAC WR (44)","10.05 Parker Washington, JAX WR (43)","10.04 Wan'Dale Robinson, NYG WR (42)","10.03 Bhayshul Tuten, JAX RB (30)","10.02 Woody Marks, HOU RB (29)","10.01 Chuba Hubbard, CAR RB (28)"
Round 11,"11.01 Isaiah Likely, BAL TE (16)","11.02 Rico Dowdle, CAR RB (33)","11.03 Shedeur Sanders, CLE QB (29)","11.04 Jayden Reed, GB WR (46)","11.05 Khalil Shakir, BUF WR (47)","11.06 Dallas Goedert, PHI TE (17)","11.07 Mike Evans, TB WR (48)","11.08 Terrance Ferguson, LAR TE (18)","11.09 Rhamondre Stevenson, NE RB (34)","11.10 David Montgomery, DET RB (35)","11.11 Mark Andrews, BAL TE (19)","11.12 Theo Johnson, NYG TE (20)"
Round 12,"12.12 Juwan Johnson, NO TE (22)","12.11 Troy Franklin, DEN WR (53)","12.10 Tua Tagovailoa, MIA QB (30)","12.09 Tyrone Tracy, NYG RB (39)","12.08 Tony Pollard, TEN RB (38)","12.07 AJ Barner, SEA TE (21)","12.06 Jauan Jennings, SF WR (52)","12.05 Josh Downs, IND WR (51)","12.04 Brandon Aiyuk, SF WR (50)","12.03 Kaleb Johnson, PIT RB (37)","12.02 Jacory Croskey-Merritt, WAS RB (36)","12.01 Jalen Coker, CAR WR (49)"
